area,month,year,growth_rate_perc,visitor_arrivals,source
Afghanistan,1,2019,0.0,263,https://statistics.jnto.go.j
Afghanistan,2,2019,0.0,205,https://statistics.jnto.go.j
Afghanistan,3,2019,0.0,245,https://statistics.jnto.go.j
Afghanistan,4,2019,0.0,244,https://statistics.jnto.go.j
Afghanistan,5,2019,0.0,172,https://statistics.jnto.go.j
Afghanistan,6,2019,0.0,249,https://statistics.jnto.go.j
Afghanistan,7,2019,0.0,191,https://statistics.jnto.go.j
Afghanistan,8,2019,0.0,322,https://statistics.jnto.go.j
Afghanistan,9,2019,0.0,414,https://statistics.jnto.go.j
Afghanistan,10,2019,0.0,328,https://statistics.jnto.go.j
Afghanistan,11,2019,0.0,232,https://statistics.jnto.go.j
Afghanistan,12,2019,0.0,204,https://statistics.jnto.go.j
Afghanistan,1,2020,800.0,270,https://statistics.jnto.go.j
Afghanistan,2,2020,738.2353,285,https://statistics.jnto.go.j
Afghanistan,3,2020,316.6667,175,https://statistics.jnto.go.j
Afghanistan,4,2020,-86.8421,5,https://statistics.jnto.go.j
Afghanistan,5,2020,-100.0,0,https://statistics.jnto.go.j
Afghanistan,6,2020,-79.4872,8,https://statistics.jnto.go.j
Afghanistan,7,2020,-11.9048,37,https://statistics.jnto.go.j
Afghanistan,8,2020,-40.1274,94,https://statistics.jnto.go.j
Afghanistan,9,2020,-1.3158,75,https://statistics.jnto.go.j
Afghanistan,10,2020,-14.7826,98,https://statistics.jnto.go.j
Afghanistan,11,2020,255.102,174,https://statistics.jnto.go.j
Afghanistan,12,2020,346.1538,232,https://statistics.jnto.go.j
Afghanistan,1,2021,120.0,132,https://statistics.jnto.go.j
Afghanistan,2,2021,266.6667,99,https://statistics.jnto.go.j
Afghanistan,3,2021,623.0769,94,https://statistics.jnto.go.j
Afghanistan,4,2021,2966.6667,92,https://statistics.jnto.go.j
Afghanistan,5,2021,0.0,121,https://statistics.jnto.go.j
Afghanistan,6,2021,83.0,84,https://statistics.jnto.go.j
Afghanistan,7,2021,445.0,91,https://statistics.jnto.go.j
Afghanistan,8,2021,41.0,84,https://statistics.jnto.go.j
Afghanistan,9,2021,485.0,99,https://statistics.jnto.go.j
Afghanistan,10,2021,2164.7059,385,https://statistics.jnto.go.j
Afghanistan,11,2021,1728.5714,256,https://statistics.jnto.go.j
Afghanistan,12,2021,362.0,186,https://statistics.jnto.go.j
Afghanistan,1,2022,2475.0,103,https://statistics.jnto.go.j
Afghanistan,2,2022,174.0,175,https://statistics.jnto.go.j
Afghanistan,3,2022,8333.3333,253,https://statistics.jnto.go.j
Afghanistan,4,2022,2663.6364,304,https://statistics.jnto.go.j
Afghanistan,5,2022,4916.6667,301,https://statistics.jnto.go.j
Afghanistan,6,2022,3277.7778,304,https://statistics.jnto.go.j
Afghanistan,7,2022,713.7931,236,https://statistics.jnto.go.j
Afghanistan,8,2022,1606.25,273,https://statistics.jnto.go.j
Afghanistan,9,2022,14166.6667,428,https://statistics.jnto.go.j
Afghanistan,10,2022,1915.0,385,https://statistics.jnto.go.j
Afghanistan,11,2022,2971.4286,215,https://statistics.jnto.go.j
Afghanistan,12,2022,238.0,239,https://statistics.jnto.go.j
Afghanistan,1,2023,518.0,264,https://statistics.jnto.go.j
Afghanistan,2,2023,207.0,217,https://statistics.jnto.go.j
Afghanistan,3,2023,684.6154,204,https://statistics.jnto.go.j
Afghanistan,4,2023,776.0,219,https://statistics.jnto.go.j
Afghanistan,5,2023,852.0,238,https://statistics.jnto.go.j
Afghanistan,6,2023,2971.4286,215,https://statistics.jnto.go.j
Afghanistan,7,2023,1176.1905,268,https://statistics.jnto.go.j
Afghanistan,8,2023,1162.5,404,https://statistics.jnto.go.j
Afghanistan,9,2023,540.0,320,https://statistics.jnto.go.j
Afghanistan,10,2023,519.1489,291,https://statistics.jnto.go.j
Afghanistan,11,2023,254.9296,252,https://statistics.jnto.go.j
Afghanistan,12,2023,615.625,229,https://statistics.jnto.go.j
Afghanistan,1,2024,507.6923,237,https://statistics.jnto.go.j
Afghanistan,2,2024,367.5676,173,https://statistics.jnto.go.j
Afghanistan,3,2024,277.0833,181,https://statistics.jnto.go.j
Afghanistan,4,2024,418.6047,223,https://statistics.jnto.go.j
Afghanistan,5,2024,695.2381,334,https://statistics.jnto.go.j
Afghanistan,6,2024,566.6667,220,https://statistics.jnto.go.j
Afghanistan,7,2024,398.1818,274,https://statistics.jnto.go.j
Afghanistan,8,2024,690.0,316,https://statistics.jnto.go.j
Afghanistan,9,2024,478.9474,440,https://statistics.jnto.go.j
Afghanistan,10,2024,351.7647,384,https://statistics.jnto.go.j
Afghanistan,11,2024,416.9811,274,https://statistics.jnto.go.j
Afghanistan,12,2024,338.7097,272,https://statistics.jnto.go.j
Afghanistan,1,2025,256.044,324,https://statistics.jnto.go.j
Afghanistan,2,2025,430.9091,292,https://statistics.jnto.go.j
Afghanistan,3,2025,47.7477,164,https://statistics.jnto.go.j
Afghanistan,4,2025,271.7949,290,https://statistics.jnto.go.j
Afghanistan,5,2025,304.6875,259,https://statistics.jnto.go.j
Afghanistan,6,2025,383.0986,343,https://statistics.jnto.go.j
Afghanistan,7,2025,0.0,,https://statistics.jnto.go.j
Afghanistan,8,2025,0.0,,https://statistics.jnto.go.j
Afghanistan,9,2025,0.0,,https://statistics.jnto.go.j
Afghanistan,10,2025,0.0,,https://statistics.jnto.go.j
Afghanistan,11,2025,0.0,,https://statistics.jnto.go.j
Afghanistan,12,2025,0.0,,https://statistics.jnto.go.j
Albania,1,2019,-92.7757,19,https://statistics.jnto.go.j
Albania,2,2019,-92.1951,16,https://statistics.jnto.go.j
Albania,3,2019,-84.4898,38,https://statistics.jnto.go.j
Albania,4,2019,-82.7869,42,https://statistics.jnto.go.j
Albania,5,2019,-61.6279,66,https://statistics.jnto.go.j
Albania,6,2019,-81.9277,45,https://statistics.jnto.go.j
Albania,7,2019,-83.2461,32,https://statistics.jnto.go.j
Albania,8,2019,-87.8882,39,https://statistics.jnto.go.j
Albania,9,2019,-90.3382,40,https://statistics.jnto.go.j
Albania,10,2019,-79.2683,68,https://statistics.jnto.go.j
Albania,11,2019,-75.8621,56,https://statistics.jnto.go.j
Albania,12,2019,-85.2941,30,https://statistics.jnto.go.j
Albania,1,2020,-86.6667,36,https://statistics.jnto.go.j
Albania,2,2020,-94.7368,15,https://statistics.jnto.go.j
Albania,3,2020,-97.1429,5,https://statistics.jnto.go.j
Albania,4,2020,-100.0,0,https://statistics.jnto.go.j
Albania,5,2020,0.0,0,https://statistics.jnto.go.j
Albania,6,2020,-100.0,0,https://statistics.jnto.go.j
Albania,7,2020,-100.0,0,https://statistics.jnto.go.j
Albania,8,2020,-97.8723,2,https://statistics.jnto.go.j
Albania,9,2020,-97.3333,2,https://statistics.jnto.go.j
Albania,10,2020,-93.8776,6,https://statistics.jnto.go.j
Albania,11,2020,-97.1264,5,https://statistics.jnto.go.j
Albania,12,2020,-99.1379,2,https://statistics.jnto.go.j
Albania,1,2021,-98.4848,2,https://statistics.jnto.go.j
Albania,2,2021,-97.9798,2,https://statistics.jnto.go.j
Albania,3,2021,-100.0,0,https://statistics.jnto.go.j
Albania,4,2021,-98.913,1,https://statistics.jnto.go.j
Albania,5,2021,-99.1736,1,https://statistics.jnto.go.j
Albania,6,2021,-96.4286,3,https://statistics.jnto.go.j
Albania,7,2021,-71.4286,26,https://statistics.jnto.go.j
Albania,8,2021,-92.8571,6,https://statistics.jnto.go.j
Albania,9,2021,-93.9394,6,https://statistics.jnto.go.j
Albania,10,2021,-99.7403,1,https://statistics.jnto.go.j
Albania,11,2021,-98.8281,3,https://statistics.jnto.go.j
Albania,12,2021,-99.4624,1,https://statistics.jnto.go.j
Albania,1,2022,-97.0874,3,https://statistics.jnto.go.j
Albania,2,2022,-99.4286,1,https://statistics.jnto.go.j
Albania,3,2022,-99.2095,2,https://statistics.jnto.go.j
Albania,4,2022,-98.3553,5,https://statistics.jnto.go.j
Albania,5,2022,-99.6678,1,https://statistics.jnto.go.j
Albania,6,2022,-100.0,0,https://statistics.jnto.go.j
Albania,7,2022,-96.1864,9,https://statistics.jnto.go.j
Albania,8,2022,-97.8022,6,https://statistics.jnto.go.j
Albania,9,2022,-98.3645,7,https://statistics.jnto.go.j
Albania,10,2022,-96.8831,12,https://statistics.jnto.go.j
Albania,11,2022,-93.9535,13,https://statistics.jnto.go.j
Albania,12,2022,-91.2134,21,https://statistics.jnto.go.j
Albania,1,2023,-95.4545,12,https://statistics.jnto.go.j
Albania,2,2023,-81.106,41,https://statistics.jnto.go.j
Albania,3,2023,-73.0392,55,https://statistics.jnto.go.j
Albania,4,2023,-83.105,37,https://statistics.jnto.go.j
Albania,5,2023,-46.2185,128,https://statistics.jnto.go.j
Albania,6,2023,-73.0233,58,https://statistics.jnto.go.j
Albania,7,2023,-87.3134,34,https://statistics.jnto.go.j
Albania,8,2023,-89.604,42,https://statistics.jnto.go.j
Albania,9,2023,-80.625,62,https://statistics.jnto.go.j
Albania,10,2023,-79.0378,61,https://statistics.jnto.go.j
Albania,11,2023,-73.8095,66,https://statistics.jnto.go.j
Albania,12,2023,-70.3057,68,https://statistics.jnto.go.j
Albania,1,2024,-90.7173,22,https://statistics.jnto.go.j
Albania,2,2024,-84.3931,27,https://statistics.jnto.go.j
Albania,3,2024,-54.1436,83,https://statistics.jnto.go.j
Albania,4,2024,-53.3632,104,https://statistics.jnto.go.j
Albania,5,2024,-64.6707,118,https://statistics.jnto.go.j
Albania,6,2024,-79.0909,46,https://statistics.jnto.go.j
Albania,7,2024,-86.8613,36,https://statistics.jnto.go.j
Albania,8,2024,-77.5316,71,https://statistics.jnto.go.j
Albania,9,2024,-75.6818,107,https://statistics.jnto.go.j
Albania,10,2024,-60.6771,151,https://statistics.jnto.go.j
Albania,11,2024,-62.7737,102,https://statistics.jnto.go.j
Albania,12,2024,-76.4706,64,https://statistics.jnto.go.j
Albania,1,2025,-88.2716,38,https://statistics.jnto.go.j
Albania,2,2025,-89.0411,32,https://statistics.jnto.go.j
Albania,3,2025,-16.4634,137,https://statistics.jnto.go.j
Albania,4,2025,-48.2759,150,https://statistics.jnto.go.j
Albania,5,2025,-55.2124,116,https://statistics.jnto.go.j
Albania,6,2025,-83.965,55,https://statistics.jnto.go.j
Albania,7,2025,0.0,,https://statistics.jnto.go.j
Albania,8,2025,0.0,,https://statistics.jnto.go.j
Albania,9,2025,0.0,,https://statistics.jnto.go.j
Albania,10,2025,0.0,,https://statistics.jnto.go.j
Albania,11,2025,0.0,,https://statistics.jnto.go.j
Albania,12,2025,0.0,,https://statistics.jnto.go.j
Algeria,1,2019,168.4211,51,https://statistics.jnto.go.j
Algeria,2,2019,162.5,42,https://statistics.jnto.go.j
Algeria,3,2019,86.8421,71,https://statistics.jnto.go.j
Algeria,4,2019,152.381,106,https://statistics.jnto.go.j
Algeria,5,2019,-13.6364,57,https://statistics.jnto.go.j
Algeria,6,2019,77.7778,80,https://statistics.jnto.go.j
Algeria,7,2019,234.375,107,https://statistics.jnto.go.j
Algeria,8,2019,397.4359,194,https://statistics.jnto.go.j
Algeria,9,2019,110.0,84,https://statistics.jnto.go.j
Algeria,10,2019,4.4118,71,https://statistics.jnto.go.j
Algeria,11,2019,69.6429,95,https://statistics.jnto.go.j
Algeria,12,2019,136.6667,71,https://statistics.jnto.go.j
Algeria,1,2020,88.8889,68,https://statistics.jnto.go.j
Algeria,2,2020,153.3333,38,https://statistics.jnto.go.j
Algeria,3,2020,120.0,11,https://statistics.jnto.go.j
Algeria,4,2020,0.0,0,https://statistics.jnto.go.j
Algeria,5,2020,0.0,0,https://statistics.jnto.go.j
Algeria,6,2020,0.0,0,https://statistics.jnto.go.j
Algeria,7,2020,0.0,0,https://statistics.jnto.go.j
Algeria,8,2020,-50.0,1,https://statistics.jnto.go.j
Algeria,9,2020,150.0,5,https://statistics.jnto.go.j
Algeria,10,2020,-83.3333,1,https://statistics.jnto.go.j
Algeria,11,2020,-20.0,4,https://statistics.jnto.go.j
Algeria,12,2020,0.0,2,https://statistics.jnto.go.j
Algeria,1,2021,0.0,2,https://statistics.jnto.go.j
Algeria,2,2021,-100.0,0,https://statistics.jnto.go.j
Algeria,3,2021,0.0,1,https://statistics.jnto.go.j
Algeria,4,2021,-100.0,0,https://statistics.jnto.go.j
Algeria,5,2021,0.0,1,https://statistics.jnto.go.j
Algeria,6,2021,66.6667,5,https://statistics.jnto.go.j
Algeria,7,2021,288.4615,101,https://statistics.jnto.go.j
Algeria,8,2021,1733.3333,110,https://statistics.jnto.go.j
Algeria,9,2021,-50.0,3,https://statistics.jnto.go.j
Algeria,10,2021,800.0,9,https://statistics.jnto.go.j
Algeria,11,2021,-33.3333,2,https://statistics.jnto.go.j
Algeria,12,2021,600.0,7,https://statistics.jnto.go.j
